UPA,d1,t2_a1,t2_a2,t2_b1,t2_b2,t2_c1,t2_c2,t2_d1,t2_d2,t2_e1,t2_e2,t2_f1,t2_f2,t2_g1,t2_g2,t2_h1,t2_h2,d3,d4,do1,do2,do3,do4,do5,do6,do7,do8,di1,di2,di3,di4,di5,di6,di7,di8,bio_a,bio_b,bio_c,bio_d,bio_e,bio_f,bio_g,bio_h,bio_i,bio_j,bio_k,bio_l,bio_m,bio_n,info2,info3
146,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,Si,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
147,Si,Si,Poco,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
148,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
149,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
150,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
151,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
152,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
153,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
154,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
155,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
156,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
157,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
158,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
159,No,,,,,,,,,,,,,,,,,Si,Capacitacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
160,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
161,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
162,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
163,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
164,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
165,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
166,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
167,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
168,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
169,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
170,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
171,No,,,,,,,,,,,,,,,,,Si,Representacion,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
172,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
173,Si,No,,No,,No,,No,,No,,No,,No,,Si,Nada,No,,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,, 
174,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
175,Si,No,,Si,Poco,No,,No,,No,,No,,No,,No,,Si,Obtener cr_dito,No,Si,No,No,Si,No,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
176,Si,No,,No,,No,,No,,Si,Poco,No,,No,,Si,Poco,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
177,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
178,No,,,,,,,,,,,,,,,,,Si,Compra de insumos,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
179,Si,No,,No,,No,,No,,No,,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
180,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
181,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
182,No,,,,,,,,,,,,,,,,,Si,Representacion,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
183,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Capacitacion,No,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
184,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
185,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
186,No,,,,,,,,,,,,,,,,,No,,Si,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
187,Si,No,,No,,No,,No,,No,,Si,Mucho,No,,No,,Si,Otro,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
188,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,8,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
189,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Uso de maquinaria,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
190,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Uso de maquinaria,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
191,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
192,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ESPOSA
193,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
194,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,Si,No,Si,Si,Si,Si,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
195,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
196,Si,No,,No,,No,,No,,No,,Si,Mucho,No,,No,,Si,Representacion,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
197,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
198,Si,No,,No,,No,,No,,Si,Poco,No,,No,,Si,Mucho,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
199,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
200,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
201,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Obtener cr_dito,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
202,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
203,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
204,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
205,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
206,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
207,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
208,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
209,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
210,Si,No,,No,,No,,No,,No,,No,,Si,Nada,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
211,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
212,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Capacitacion,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
213,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
214,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
215,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
216,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
217,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
218,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
219,Si,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
220,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Representacion,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
221,No,,,,,,,,,,,,,,,,,No,,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
222,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
223,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
224,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
225,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
226,Si,No,,Si,Nada,No,,No,,Si,Poco,No,,No,,No,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
227,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
228,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
229,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
230,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
231,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
232,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
233,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
234,No,,,,,,,,,,,,,,,,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
235,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
236,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
237,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ESPOSA
238,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
239,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
240,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
241,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
242,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
243,No,,,,,,,,,,,,,,,,,Si,8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
244,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
245,No,,,,,,,,,,,,,,,,,Si,Compra de insumos,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
246,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
247,No,,,,,,,,,,,,,,,,,Si,8,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
248,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,8,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HIJO
249,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
250,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Comercializar la produccion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
251,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Uso de maquinaria,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
252,No,,,,,,,,,,,,,,,,,Si,Uso de maquinaria,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
253,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
254,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
255,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
256,No,,,,,,,,,,,,,,,,,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
257,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
258,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
259,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
260,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
261,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
262,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
263,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
264,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
265,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,Si,No,No,, 
266,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
267,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
268,Si,No,,Si,Mucho,No,,No,,Si,Mucho,No,,No,,No,,Si,Capacitacion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,EMPLEADO
269,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,TIA
270,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
271,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
272,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HERMANA
273,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
274,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
275,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Capacitacion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HIJO
276,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
277,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
278,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
279,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,8,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,No,, 
280,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,Si,No,No,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Si,, 
281,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
282,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,EMPLEADO REMUNERADO
283,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Compra de insumos,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
284,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
285,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
286,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,, 
287,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
288,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,EMPLEADO
289,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
