UPA,v1,v2,v3,v4,v5,v6,v7,v8,v9_1_a,v9_1_b,v9_1_c,v9_1_d,v9_1_e,v9_1_f,v9_1_g,v9_2_a,v9_2_b,v9_2_c,v9_2_d,v9_2_e,v9_2_f,v9_2_g,v9_3_a,v9_3_b,v9_3_c,v9_3_d,v9_3_e,v9_3_f,v9_3_g,v9_4_a,v9_4_b,v9_4_c,v9_4_d,v9_4_e,v9_4_f,v9_4_g,v9_5_a,v9_5_b,v9_5_c,v9_5_d,v9_5_e,v9_5_f,v9_5_g,v9_6_a,v9_6_b,v9_6_c,v9_6_d,v9_6_e,v9_6_f,v9_6_g,v9_7_a,v9_7_b,v9_7_c,v9_7_d,v9_7_e,v9_7_f,v9_7_g,v9_8_a,v9_8_b,v9_8_c,v9_8_d,v9_8_e,v9_8_f,v9_8_g,v9_9_a,v9_9_b,v9_9_c,v9_9_d,v9_9_e,v9_9_f,v9_9_g,v9_10_a,v9_10_b,v9_10_c,v9_10_d,v9_10_e,v9_10_f,v9_10_g,v9_11_a,v9_11_b,v9_11_c,v9_11_d,v9_11_e,v9_11_f,v9_11_g,v9_12_a,v9_12_b,v9_12_c,v9_12_d,v9_12_e,v9_12_f,v9_12_g,v9_13_a,v9_13_b,v9_13_c,v9_13_d,v9_13_e,v9_13_f,v9_13_g,v9_14_a,v9_14_b,v9_14_c,v9_14_d,v9_14_e,v9_14_f,v9_14_g,v15,v16,v17,v18,v19,v20,v21,v22,v23,v23_a,v23_b,v23_c,v24,v25,v26,v27,v27_a,v27_repetida,v28,v29,v30_a,v30_b,v30_c,v30_d,v30_e,v31,v32,v33,v34_a,v34_b,v34_c,v34_d,v35,v35_a,v35_b,v36_a,v36_b,v36_c,v37_a,v37_b,v37_c,v38_a,v38_b,v38_c,v39_a,v39_b,v39_c,v40_a,v40_b,v40_c,v41_a,v41_b,v41_c,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53_a,v53_b,v54,v55,ProdCarne,ProdLeche,Total_machos,Total_hembras
177,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
178,Si,Doble proposito,38,38,0,8,30,0,0,0,0,0,0,0,0,37,0,9,0,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,12,3,Vejez,Extravio, , , ,0,2,"1,200.00",No,,0,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,Si,150,Kilo,330,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,10,28
179,Si,Doble proposito,22,22,0,15,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,8,0,0,0,0,No aplica,No Aplica, , , ,0,3,"3,000.00",No,,0,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Inseminacion Artificial,Si,Si,Si,Si,Si,350,Libras,350,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,Manual,30,0,0,30,0,,No aplica,0,0,,,,No aplica,,[1-100],7,15
180,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
181,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
182,Si,Carne,25,25,0,0,25,0,0,0,0,0,0,0,0,25,5,0,10,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,0,2,6,Enfermedad,Robo, , , ,0,5,"2,500.00",No,,0,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,Si,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,15,10
183,Si,Doble proposito,14,14,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,0,No aplica,No Aplica, , , ,0,1,700,No,,0,Pastoreo,Dentro de la UPA,100,0,0,0,0,No,Monta Libre,No,No,No,No,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,Manual,40,40,0,0,0,160,Comerciante,0,0,,,,No aplica,,[1-100],7,7
184,Si,Carne,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,0,4,0,0,No aplica,No Aplica, , , ,"5,000",2,"1,200.00",Si,1,1,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,Si,6,Arrobas,150,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,5,10
185,Si,Leche,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,No,No,No,No,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,2
186,Si,Doble proposito,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,No aplica,Si,Si,Si,Si,Si,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,Manual,4,0,0,4,0,,No aplica,0,0,,,,No aplica,,[1-100],0,2
187,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
188,Si,Doble proposito,8,3,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,3,No aplica,Robo, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,No,No,Si,No,5,Arrobas,125,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,4,4
189,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
190,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
191,Si,Doble proposito,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,No aplica,No Aplica, , , ,0,1,"1,000.00",No,,0,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,No,No,No,No,No,6,Arrobas,150,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,2
192,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
193,Si,Carne,70,70,0,0,70,0,70,0,5,5,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,No,No,,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,10,60
194,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
195,Si,Doble proposito,96,90,6,60,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,5,1,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,15,1,0,0,3,No aplica,Extravio, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Inseminacion Artificial,Si,No,No,No,No,150,Libras,150,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,Si,Mecànico,150,0,150,0,0,,No aplica,0,0,,,,No aplica,,[101-200],6,90
196,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
197,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
198,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
199,Si,Doble proposito,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,"Fuera de la UPA, pero no en àrea del PNG",100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,Si,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,2
200,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
201,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
202,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
203,Si,Carne,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,No,No aplica,Si,Si,Si,Si,Si,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,0,1
204,Si,Doble proposito,30,30,0,10,20,0,30,0,0,1,4,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,4,0,0,0,6,No aplica,Robo, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,No,No,Si,No,100,Libras,100,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,1,29
205,Si,Carne,22,22,0,0,22,0,22,0,0,2,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,7,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,Pastoreo,Dentro de la UPA,100,0,0,0,0,Si,Monta Libre,Si,Si,Si,Si,No,No aplica,,,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,No aplica,No aplica,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,2,20
206,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
207,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
208,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
209,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
210,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No aplica,No Aplica, , , ,0,0,0,No aplica,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No aplica,0,0,,,,No aplica,,0,,
