UPA,t1,t2,cultivo_estandar,t3,t4,t5,t6,t7,t8,t8_a,t9,t10,t10_a,t11,t12,t12_a,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t22_a,t23,t24,consideracion_produccion_mala,t25,t25_a,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,libras_cosechada,libras_vendida,sum_otros_destinos,condic_cultivo,categori_condicion_por_cultivo,superficie_total,num_cultivo,tipo_cultivo,cultivo_standar_copia
131,1,PEPINO,Pepino,Pepinillo,Asociado,,Certificada,Si,0.25,Hectareas,1-Mar-14,0.25,Hectareas,1-Jun-14,, ,Si,Si,Estiercol,No, ,Si,Manual,No, ,100,Unidad,FRUTA FRESCA,buena,0,0, ,1, ,,100,,,,, , ,100,0,100,Asociado,Cultivo rotativo,0,121,Campo abierto,Pepino
131,1,ZANAHORIA AMARILLA,Zanahoria amarilla,Zanahoria amarilla,Asociado,,Certificada,Si,0.25,Hectareas,1-Mar-14,0.25,Hectareas,1-Jun-14,, ,Si,Si,Estiercol,No, ,Si,Manual,No, ,10,Libra,RAIZ FRESCA,buena,0,0, ,1, ,,10,,,,, , ,10,0,10,Asociado,Cultivo rotativo,0,121,Campo abierto,Zanahoria amarilla
132,1,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Solo,,Comun,No,1,Hectareas,1-Apr-14,0.5,Hectareas,1-Aug-14,plagas, ,No,,,, ,No,,No, ,100,Saco,CHOCLO,regular,0,0, ,60, ,,,100,,,, , ,6000,0,100,Solo,Solo,1,122,Campo abierto,Maiz
133,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Asociado,,Certificada,Si,0.5,Hectareas,1-Jun-14,0.5,Hectareas,1-Oct-14,, ,Si,No,,Si,Potasicos,No,,Si,Rojo,5,Quintal,GRANO SECO,buena,0,0, ,100, ,,,5,,,, , ,500,0,5,Asociado,Asociado con transitorio,0.5,123,Campo abierto,Maiz
133,1,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.5,Hectareas,1-Jun-13,0.5,Hectareas,1-Jun-14,, ,No,,,, ,No,,No, ,3,Saco,RAIZ FRESCA,buena,0,0, ,60, ,,3,,,,, , ,180,0,3,Asociado,Asociado con transitorio,0,123,Campo abierto,Yuca
134,1,YUCA,Yuca,Yuca,Solo,,Comun,No,0.5,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,Solo,0.5,124,Campo abierto,Yuca
137,1,HIERVITA,Hiervita,Cilantro,Asociado,,Certificada,No,0.084,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0.084,125,Campo abierto,Hiervita
137,1,COL,Col,Col,Asociado,,Certificada,No,0.084,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,125,Campo abierto,Col
137,1,LECHUGA,Lechuga,Lechuga,Asociado,,Certificada,No,0.084,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,125,Campo abierto,Lechuga
137,1,RABANO,Rabano,Rabano,Asociado,,Certificada,No,0.084,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,125,Campo abierto,Rabano
137,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Certificada,No,0.084,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Asociado con transitorio,0,125,Campo abierto,Tomate rinon
139,1,LECHUGA,Lechuga,Lechuga,Asociado,,Comun,Si,0.2,Hectareas,1-Jun-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0,126,Campo abierto,Lechuga
139,1,COL,Col,Col,Asociado,,Comun,Si,0.2,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0.2,127,Campo abierto,Col
139,1,COL,Col,Col,Asociado,,Comun,No,0.2,Hectareas,1-Feb-14,0.2,Hectareas,1-May-14,, ,No,,,, ,No,,No, ,15,Unidad,REPOLLO,buena,0,0, ,1, ,,15,,,,, , ,15,0,15,Asociado,Cultivo sucesivo,0,127,Campo abierto,Col
139,1,COL,Col,Col,Asociado,,Comun,Si,0.2,Hectareas,1-Sep-13,0.2,Hectareas,1-Jan-14,, ,No,,,, ,No,,No, ,25,Unidad,REPOLLO,buena,0,0, ,1, ,,25,,,,, , ,25,0,25,Asociado,Cultivo sucesivo,0,127,Campo abierto,Col
139,1,LECHUGA,Lechuga,Lechuga,Asociado,,Comun,Si,0.2,Hectareas,1-Feb-14,0.2,Hectareas,1-May-14,, ,No,,,, ,No,,No, ,25,Unidad,REPOLLO,buena,0,0, ,2, ,,25,,,,, , ,50,0,25,Asociado,Cultivo sucesivo,0,127,Campo abierto,Lechuga
139,1,LECHUGA,Lechuga,Lechuga,Asociado,,Comun,Si,0.2,Hectareas,1-Sep-13,0.2,Hectareas,1-Jan-14,, ,No,,,, ,No,,No, ,25,Unidad,REPOLLO,buena,0,0, ,2, ,,25,,,,, , ,50,0,25,Asociado,Cultivo sucesivo,0,127,Campo abierto,Lechuga
139,1,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.2,Hectareas,1-Oct-13,0.2,Hectareas,1-Aug-14,, ,No,,,, ,No,,No, ,5,Saco,RAIZ FRESCA,buena,0,0, ,80, ,,5,,,,, , ,400,0,5,Asociado,Cultivo rotativo,0,127,Campo abierto,Yuca
140,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Comun,No,0.02,Hectareas,1-Sep-13,0.02,Hectareas,1-Mar-14,, ,No,,,, ,No,,No, ,5,Saco,CHOCLO,buena,0,0, ,50, ,,5,,,,, , ,250,0,5,Solo,Cultivo sucesivo,0,128,Campo abierto,Maiz
140,1,YUCA,Yuca,Yuca,Solo,,Comun,No,0.01,Hectareas,1-Jan-14,0.01,Hectareas,1-Mar-14,, ,No,,,, ,No,,No, ,2,Saco,RAIZ FRESCA,buena,0,0, ,100, ,,2,,,,, , ,200,0,2,Solo,Cultivo sucesivo,0,129,Campo abierto,Yuca
140,1,YUCA,Yuca,Yuca,Solo,,Comun,No,0.01,Hectareas,1-Jul-14,0.01,Hectareas,1-Oct-14,, ,No,,,, ,No,,No, ,2,Saco,RAIZ FRESCA,buena,0,0, ,100, ,,2,,,,, , ,200,0,2,Solo,Cultivo sucesivo,0.01,130,Campo abierto,Yuca
140,1,YUCA,Yuca,Yuca,Solo,,Comun,No,0.01,Hectareas,1-Mar-14,0.01,Hectareas,1-Jul-14,, ,No,,,, ,No,,No, ,2,Saco,RAIZ FRESCA,buena,0,0, ,100, ,,2,,,,, , ,200,0,2,Solo,Cultivo sucesivo,0,131,Campo abierto,Yuca
140,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Comun,No,0.02,Hectareas,1-Jul-14,0.02,Hectareas,1-Oct-14,, ,No,,,, ,No,,No, ,5,Saco,CHOCLO,buena,0,0, ,50, ,,5,,,,, , ,250,0,5,Solo,Cultivo sucesivo,0.02,132,Campo abierto,Maiz
140,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Comun,No,0.02,Hectareas,1-Apr-14,0.02,Hectareas,1-Jul-14,, ,No,,,, ,No,,No, ,5,Saco,CHOCLO,buena,0,0, ,50, ,,5,,,,, , ,250,0,5,Solo,Cultivo sucesivo,0,133,Campo abierto,Maiz
143,2,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Oct-13,0.08,Hectareas,1-Mar-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,31,Caneca/gaveta,FRUTA FRESCA,buena,0,22,caneca/gaveta,75,FRUTA FRESCA,770,1,6,,,2,comerciante,San Cristobal,2325,1650,9,Asociado,Cultivo rotativo,0,134,Campo abierto,Tomate rinon
143,2,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Jul-14,0.08,Hectareas,1-Oct-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,70,Otro especifique,HOJA FRESCA,buena,0,70,otros especifique,1,HOJA FRESCA,70,,,,,,comerciante,San Cristobal,70,70,0,Asociado,Cultivo rotativo,0,134,Campo abierto,Hiervita
143,2,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Apr-14,0.08,Hectareas,1-Jun-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,100,otros especifique,1,HOJA FRESCA,100,,,,,,comerciante,San Cristobal,100,100,0,Asociado,Cultivo rotativo,0,134,Campo abierto,Hiervita
143,2,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Feb-14,0.08,Hectareas,1-Apr-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,100,otros especifique,1,HOJA FRESCA,100,,,,,,comerciante,San Cristobal,100,100,0,Asociado,Cultivo rotativo,0,134,Campo abierto,Hiervita
143,2,HIERVITA,Hiervita,Cilantro,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Nov-13,0.08,Hectareas,1-Jan-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,100,otros especifique,1,HOJA FRESCA,100,,,,,,comerciante,San Cristobal,100,100,0,Asociado,Cultivo rotativo,0,134,Campo abierto,Hiervita
143,2,PEREJIL,Perejil,Perejil,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Jul-14,0.08,Hectareas,1-Oct-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,50,Otro especifique,HOJA FRESCA,buena,0,50,otros especifique,1,HOJA FRESCA,50,,,,,,comerciante,San Cristobal,50,50,0,Asociado,Cultivo rotativo,0.08,135,Campo abierto,Perejil
143,2,PEREJIL,Perejil,Perejil,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Apr-14,0.08,Hectareas,1-Jun-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,70,otros especifique,1,HOJA FRESCA,70,30,,,,,comerciante,San Cristobal,100,70,30,Asociado,Cultivo rotativo,0,135,Campo abierto,Perejil
143,2,PEREJIL,Perejil,Perejil,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Feb-14,0.08,Hectareas,1-Apr-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,70,otros especifique,1,HOJA FRESCA,70,30,,,,,comerciante,San Cristobal,100,70,30,Asociado,Cultivo rotativo,0,135,Campo abierto,Perejil
143,2,PEREJIL,Perejil,Perejil,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Nov-13,0.08,Hectareas,1-Jan-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,100,Otro especifique,HOJA FRESCA,buena,0,70,otros especifique,1,HOJA FRESCA,70,30,,,,,comerciante,San Cristobal,100,70,30,Asociado,Cultivo rotativo,0,135,Campo abierto,Perejil
143,2,PIMIENTO,Pimiento,Pimiento,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Apr-14,0.08,Hectareas,1-Jul-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,50,Caneca/gaveta,FRUTA FRESCA,buena,0,50,caneca/gaveta,25,FRUTA FRESCA,1000,,,,,,comerciante,San Cristobal,1250,1250,0,Asociado,Cultivo rotativo,0,135,Campo abierto,Pimiento
143,2,PIMIENTO,Pimiento,Pimiento,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Oct-13,0.08,Hectareas,1-Mar-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,50,Caneca/gaveta,FRUTA FRESCA,buena,0,50,caneca/gaveta,25,FRUTA FRESCA,1000,,,,,,comerciante,San Cristobal,1250,1250,0,Asociado,Cultivo rotativo,0,135,Campo abierto,Pimiento
143,2,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Hibrida Intenacional,Si,0.08,Hectareas,1-Nov-13,0.08,Hectareas,1-May-14,, ,Si,Si,Guano,No, ,Si,Aspersion,No, ,21,Caneca/gaveta,FRUTA FRESCA,buena,0,20,caneca/gaveta,75,FRUTA FRESCA,735,,,,,1,comerciante,San Cristobal,1575,1500,1,Asociado,Cultivo rotativo,0,135,Campo abierto,Tomate rinon
145,1,CEBOLLA BLANCA,Cebolla Blanca,Cebolla blanca,Asociado,,Comun,No,0.25,Hectareas,1-Jan-14,0.25,Hectareas,1-Sep-14,, ,No,,,, ,Si,Manual,No, ,10,Otro especifique,TALLO FRESCO,buena,0,0, ,2, ,,10,,,,, , ,20,0,10,Asociado,Cultivo sucesivo,0,136,Campo abierto,Cebolla Blanca
145,1,YUCA,Yuca,Yuca,Asociado,,Comun,No,0.25,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,Si,Manual,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo sucesivo,0.25,137,Campo abierto,Yuca
145,1,ARVEJA,Arveja,Arveja tierna,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Sep-14,, ,No,,,, ,Si,Manual,No, ,2,Libra,VAINA,buena,0,0, ,1, ,,2,,,,, , ,2,0,2,Asociado,Cultivo sucesivo,0,137,Campo abierto,Arveja
145,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Asociado,,Comun,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Sep-14,, ,No,,,, ,Si,Manual,No, ,3,Saco,CHOCLO,buena,0,0, ,60, ,,3,,,,, , ,180,0,3,Asociado,Cultivo sucesivo,0,137,Campo abierto,Maiz
145,1,SANDIA,Sandia,Sandia,Asociado,,Certificada,No,0.25,Hectareas,1-May-14,0.25,Hectareas,1-Aug-14,, ,No,,,, ,Si,Manual,No, ,70,Unidad,FRUTA FRESCA,regular,0,50,unidad,4,FRUTA FRESCA,150,20,,,,,consumidor final,San Cristobal,280,200,20,Asociado,Cultivo sucesivo,0,137,Campo abierto,Sandia
145,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Certificada,No,0.25,Hectareas,1-Mar-14,0.25,Hectareas,1-Jun-14,, ,No,,,, ,Si,Manual,No, ,40,Libra,FRUTA FRESCA,regular,0,0, ,1, ,,40,,,,, , ,40,0,40,Asociado,Cultivo sucesivo,0,137,Campo abierto,Tomate rinon
147,1,ARVEJA,Arveja,Arveja tierna,Asociado,,Certificada,No,0.25,Hectareas,1-Jul-14,0.25,Hectareas,1-Sep-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,30,Libra,VAINA,buena,0,0, ,1, ,,30,,,,, , ,30,0,30,Asociado,Cultivo sucesivo,0.25,138,Campo abierto,Arveja
147,1,COL,Col,Col,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Sep-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Unidad,REPOLLO,buena,0,0, ,3, ,,10,,,,, , ,30,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Col
147,1,HIERVITA,Hiervita,Cilantro,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Jul-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Libra,HOJA FRESCA,buena,0,0, ,1, ,,10,,,,, , ,10,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Hiervita
147,1,LECHUGA,Lechuga,Lechuga,Asociado,,Certificada,No,0.25,Hectareas,1-May-14,0.25,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Unidad,REPOLLO,buena,0,0, ,2, ,,10,,,,, , ,20,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Lechuga
147,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Sep-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,8,Saco,CHOCLO,regular,0,0, ,100, ,,8,,,,, , ,800,0,8,Asociado,Cultivo sucesivo,0,138,Campo abierto,Maiz
147,1,MELON,Melon,Melon,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Sep-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Unidad,FRUTA FRESCA,regular,0,0, ,2, ,,10,,,,, , ,20,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Melon
147,1,PAPA,Papa,Papa,Asociado,,Certificada,No,0.25,Hectareas,1-May-14,0.25,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Libra,TUBERCULO FRESCO,buena,0,0, ,1, ,,10,,,,, , ,10,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Papa
147,1,PEREJIL,Perejil,Perejil,Asociado,,Certificada,No,0.25,Hectareas,1-Jun-14,0.25,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,10,Libra,HOJA FRESCA,buena,0,0, ,1, ,,10,,,,, , ,10,0,10,Asociado,Cultivo sucesivo,0,138,Campo abierto,Perejil
147,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Certificada,No,0.25,Hectareas,1-Apr-14,0.25,Hectareas,1-Jul-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,50,Unidad,FRUTA FRESCA,buena,0,0, ,0.25, ,,50,,,,, , ,12.5,0,50,Asociado,Cultivo sucesivo,0,138,Campo abierto,Pimiento
147,1,SANDIA,Sandia,Sandia,Asociado,,Certificada,No,0.25,Hectareas,1-May-14,0.25,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,5,Unidad,FRUTA FRESCA,regular,0,0, ,4, ,,5,,,,, , ,20,0,5,Asociado,Cultivo sucesivo,0,138,Campo abierto,Sandia
147,1,ZANAHORIA AMARILLA,Zanahoria amarilla,Zanahoria amarilla,Asociado,,Certificada,No,0.25,Hectareas,1-May-14,0.25,Hectareas,1-Aug-14,, ,Si,Si,Estiercol,No, ,Si,Manual,Si,Verde,5,Libra,RAIZ FRESCA,regular,0,0, ,1, ,,5,,,,, , ,5,0,5,Asociado,Cultivo sucesivo,0,138,Campo abierto,Zanahoria amarilla
148,1,MAIZ DURO SECO,Maiz,Maiz duro seco,Solo,,Comun,Si,0.25,Hectareas,1-Aug-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,Si,Compost,No, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,solo,0.25,139,Campo abierto,Maiz
149,1,YUCA,Yuca,Yuca,Solo,,Comun,No,0.5,Hectareas,1-Jul-13,0.2,Hectareas,1-Sep-14,plagas, ,No,,,, ,No,,No, ,40,Saco,RAIZ FRESCA,regular,0,30,Saco,80,RAIZ FRESCA,240,10,,,,,comerciante,San Cristobal,3200,2400,10,Solo,solo,0.5,140,Campo abierto,Yuca
150,1,RABANO,Rabano,Rabano,Asociado,,Certificada,Si,0.144,Hectareas,1-Jun-14,0.144,Hectareas,1-Oct-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,5,Libra,RAIZ FRESCA,buena,0,0, ,1, ,,5,,,,, , ,5,0,5,Asociado,Cultivo rotativo,0,141,Campo abierto,Rabano
150,1,COL,Col,Col,Asociado,,Certificada,Si,0.144,Hectareas,1-Apr-14,0.144,Hectareas,1-Jul-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,30,Unidad,REPOLLO,buena,0,0, ,3, ,,10,20,,,, , ,90,0,30,Asociado,Cultivo rotativo,0,141,Campo abierto,Col
150,1,COLIFLOR,Coliflor,Coliflor,Asociado,,Certificada,Si,0.144,Hectareas,1-Aug-14,0.144,Hectareas,1-Jun-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,20,Unidad,REPOLLO,buena,0,0, ,, ,,20,,,,, , ,0,0,20,Asociado,Cultivo rotativo,0.144,142,Campo abierto,Coliflor
150,1,LECHUGA,Lechuga,Lechuga,Asociado,,Certificada,Si,0.144,Hectareas,1-Feb-14,0.144,Hectareas,1-May-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,40,Unidad,REPOLLO,buena,0,0, ,, ,,40,,,,, , ,0,0,40,Asociado,Cultivo rotativo,0,142,Campo abierto,Lechuga
150,1,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Asociado,,Certificada,Si,0.144,Hectareas,1-Feb-14,0.144,Hectareas,1-Sep-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,3,Saco,CHOCLO,buena,0,0, ,60, ,,3,,,,, , ,180,0,3,Asociado,Cultivo rotativo,0,142,Campo abierto,Maiz
150,1,PEPINO,Pepino,Pepinillo,Asociado,,Certificada,Si,0.144,Hectareas,1-May-14,0.144,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,40,Unidad,FRUTA FRESCA,buena,0,0, ,0.75, ,,40,,,,, , ,30,0,40,Asociado,Cultivo rotativo,0,142,Campo abierto,Pepino
150,1,PIMIENTO,Pimiento,Pimiento,Asociado,,Certificada,Si,0.144,Hectareas,1-Feb-14,0.144,Hectareas,1-May-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,80,Unidad,FRUTA FRESCA,buena,0,0, ,0.25, ,,80,,,,, , ,20,0,80,Asociado,Cultivo rotativo,0,142,Campo abierto,Pimiento
150,1,TOMATE RINON,Tomate rinon,Tomate rinon,Asociado,,Certificada,Si,0.144,Hectareas,1-May-14,0.144,Hectareas,1-Aug-14,, ,Si,Si,Guano,No, ,Si,Manual,No, ,40,Libra,FRUTA FRESCA,buena,0,0, ,1, ,,40,,,,, , ,40,0,40,Asociado,Cultivo rotativo,0,142,Campo abierto,Tomate rinon
151,2,OTOY,Otoy,Otros transitorios,Asociado,,Comun,No,0.14705,Hectareas,1-Aug-13,0.14705,Hectareas,1-Oct-14,, ,No,,,, ,Si,Manual,No, ,50,Saco,TUBERCULO FRESCO,buena,0,0, ,60, ,,,50,,,, , ,3000,0,50,Asociado,Cultivo sucesivo,0,143,Campo abierto,Otoy
151,2,MAIZ DURO SECO,Maiz,Maiz duro seco,Asociado,,Comun,Si,0.14705,Hectareas,1-Jun-14,0.09,Hectareas,1-Sep-14,plagas, ,No,,,, ,No,,No, ,0.5,Quintal,GRANO SECO,mala,plagas,0, ,100, ,,,0.5,,,, , ,50,0,0.5,Asociado,Cultivo rotativo,0,143,Campo abierto,Maiz
151,1,HIERVITA,Hiervita,Cilantro,Asociado,,Certificada,Si,0.14705,Hectareas,1-Aug-14,0.14705,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,1,Caneca/gaveta,HOJA FRESCA,regular,0,1,caneca/gaveta,10,HOJA FRESCA,20,,,,,,consumidor final,San Cristobal,10,10,0,Asociado,Cultivo rotativo,0.14705,144,Campo abierto,Hiervita
151,2,OTOY,Otoy,Otros transitorios,Asociado,,Comun,No,0.3829,Hectareas,1-Jun-13,0.3829,Hectareas,1-Jun-14,, ,No,,,, ,Si,Manual,Si,Verde,50,Saco,TUBERCULO FRESCO,buena,0,0, ,60, ,,,50,,,, , ,3000,0,50,Asociado,Asociado con permanente,0,145,Campo abierto,Otoy
152,2,YUCA,Yuca,Yuca,Asociado,,Comun,Si,0.1926,Hectareas,1-May-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,No,,,, ,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Asociado,Cultivo rotativo,0,146,Campo abierto,Yuca
152,2,PIMIENTO,Pimiento,Pimiento,Solo,,Comun,Si,0.004,Hectareas,1-Sep-14,0,Hectareas,,otra cual?,cultivo aun no listo para cosecha,Si,No,,Si,Potasicos,No,,No, ,0,, , ,0,, ,, ,,,,,,, , ,0,0,0,Solo,solo,0.004,147,Campo abierto,Pimiento
152,2,FREJOL SECO,Frejol,Frejol seco,Asociado,,Comun,Si,0.1926,Hectareas,1-Jul-14,0.1926,Hectareas,1-Sep-14,, ,No,,,, ,No,,No, ,20,Libra,GRANO SECO,mala,plagas,0, ,1, ,,20,,,,, , ,20,0,20,Asociado,Cultivo rotativo,0,148,Campo abierto,Frejol
152,2,MAIZ DURO CHOCLO,Maiz,Maiz duro choclo,Asociado,,Comun,Si,0.1926,Hectareas,1-Jun-14,0.1926,Hectareas,1-Oct-14,, ,Si,No,,Si,Potasicos,No,,Si,Verde,3,Saco,CHOCLO,regular,0,0, ,60, ,,3,,,,, , ,180,0,3,Asociado,Cultivo rotativo,0,148,Campo abierto,Maiz
152,2,PEPINO,Pepino,Pepinillo,Asociado,,Certificada,Si,0.1926,Hectareas,1-Aug-14,0.1926,Hectareas,1-Oct-14,, ,No,,,, ,No,,No, ,3,Saco,FRUTA FRESCA,buena,0,2,Saco,60,FRUTA FRESCA,53.3,1,,,,,consumidor final,San Cristobal,180,120,1,Asociado,Cultivo rotativo,0,148,Campo abierto,Pepino
152,2,ZANAHORIA AMARILLA,Zanahoria amarilla,Zanahoria amarilla,Asociado,,Certificada,Si,0.1926,Hectareas,1-Aug-14,0.1926,Hectareas,1-Oct-14,, ,No,,,, ,No,,No, ,20,Libra,RAIZ FRESCA,buena,0,0, ,1, ,,20,,,,, , ,20,0,20,Asociado,Cultivo rotativo,0.1926,149,Campo abierto,Zanahoria amarilla
155,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,0.16,Hectareas,1-Sep-13,0.16,Hectareas,1-Aug-14,, ,No,,,, ,No,,No, ,20,Saco,RAIZ FRESCA,buena,0,0, ,110, ,,,20,,,, , ,2200,0,20,Solo,solo,0.16,150,Campo abierto,Yuca
156,1,MAIZ SUAVE CHOCLO,Maiz,Maiz suave choclo,Solo,,Comun,Si,1,Hectareas,1-Oct-13,1,Hectareas,1-Jul-14,, ,No,,,, ,No,,No, ,15,Saco,CHOCLO,buena,0,5,Saco,40,CHOCLO,225,10,,,,,consumidor final,San Cristobal,600,200,10,Solo,solo,1,151,Campo abierto,Maiz
156,1,YUCA,Yuca,Yuca,Solo,,Comun,Si,1,Hectareas,1-Oct-13,1,Hectareas,1-Oct-14,, ,No,,,, ,No,,No, ,20,Caneca/gaveta,RAIZ FRESCA,buena,0,15,caneca/gaveta,60,RAIZ FRESCA,800,5,,,,,comerciante,San Cristobal,1200,900,5,Solo,solo,1,152,Campo abierto,Yuca
